LEFT_SHOULDER,RIGHT_SHOULDER,LABEL
18.160108867322602,19.27188824773294,3
17.196422686561124,18.51794678506284,3
16.259299765281618,18.747166413503706,3
16.233860818753378,18.764655504799844,3
16.22521127899331,18.866717367915882,3
15.55334915067847,17.38290888335255,3
15.345985757796656,17.130928827454717,3
15.466070561864754,16.77478083904089,3
15.354636195323714,16.993319735304784,3
15.39291701255789,17.358008211013583,3
15.05930968624272,17.344312224020555,3
15.892456012181139,16.5345468082429,3
18.719127795962855,15.862979710110514,3
19.38225575901164,18.368758570917468,3
21.605532839827966,21.616432165229234,3
22.0309327741552,21.313768369072594,3
20.722215883279322,20.54377521916047,3
17.68655592848807,15.831904505300884,3
14.292210609670592,11.99849552945743,3
12.825197018488941,12.06301524754616,3
12.083824224283942,11.657689309536794,3
11.564870348964368,11.462339493920078,3
11.234957963195003,11.585048241589213,3
10.847911034798255,10.951117915998521,3
12.109784133948063,11.258012236737923,3
11.133513250624674,11.166448716872504,3
10.87284364542246,10.571517811394317,3
11.698833842476215,10.931317286064456,3
12.444617200343625,11.425774677196078,3
12.456046485459717,12.299975733168361,3
12.458795479786197,12.631264670972397,3
12.045224699732497,12.584557940297046,3
11.756493284909082,11.911639581593814,3
11.051951999259218,11.306033041432231,3
10.470037694213223,11.267185343791155,3
10.918703403019641,11.52147735920235,3
10.295231190979415,11.245214944467131,3
9.819231916723592,10.974309664297822,3
9.335139916974125,10.820650200064003,3
9.381002697343186,10.750240770512399,3
9.434667437885084,10.757420298300413,3
9.554406914769658,10.610015172659574,3
9.551350581235795,10.297740702618755,3
10.164547649578735,10.111100689034291,3
10.60866456457082,10.388369046660408,3
10.521825133694994,10.321746961579708,3
10.996538678201343,10.110033370864377,3
12.110986811931786,10.482303145174034,3
12.519213257194947,10.896833976619904,3
13.071497383411977,11.807927339615063,3
13.172394190316334,12.087165996038072,3
12.983738001148808,12.259334703165592,3
12.702246033383533,12.339230341794128,3
12.04293551166698,11.379002065791518,3
11.894734593546834,10.971217808573558,3
11.355867443164442,8.977711810622486,3
13.07239692757362,9.899671075525049,3
13.565413439060105,9.983667245846213,3
12.023005087180762,10.457076964990863,3
11.819145905611006,10.597908043936235,3
11.551940866322848,10.900106815561937,3
10.132953434731041,10.962429810444409,3
9.614501022246936,10.81312403221799,3
9.111595312549893,10.758198743653407,3
10.419487337452253,11.10778586087023,3
12.367929432321283,13.41552743444777,3
11.117403099504703,13.52480886260839,3
10.411455113854931,13.51951430788498,3
11.217061832850758,13.551497997224995,3
11.850210456630471,13.658268217552827,3
12.277375697277813,13.602865454916797,3
12.13785229981827,12.890699800159917,3
